ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volatility,next2_pct,next_pct,period_guess
000006.SZ,20250812,7.04,7.46,6.98,7.46,6.78,0.68,10.0295,1143789.79,825668.426,6.434316353887393,10.0535,9.9644,尾盘
000006.SZ,20250924,8.29,9.27,8.18,9.27,8.43,0.84,9.9644,695478.12,634710.329,11.75836030204962,10.0461,10.0535,尾盘
000006.SZ,20250930,9.48,10.29,9.44,10.29,9.35,0.94,10.0535,498766.79,502879.555,8.260447035957236,9.9665,10.0461,尾盘
000006.SZ,20251010,10.74,11.94,10.68,11.94,10.85,1.09,10.0461,1134482.6,1283165.582,10.552763819095476,9.9834,9.9665,尾盘
000006.SZ,20251013,12.2,13.13,12.19,13.13,11.94,1.19,9.9665,585087.73,756544.527,7.1591774562071695,,9.9834,尾盘
000007.SZ,20251201,9.91,10.87,9.88,10.87,9.88,0.99,10.0202,167432.47,175964.693,9.107635694572204,10.0,10.0474,尾盘
000007.SZ,20251215,10.62,11.61,10.62,11.61,10.55,1.06,10.0474,345108.91,393914.741,8.52713178294574,,10.0,尾盘
000008.SZ,20251111,3.03,3.3,3.01,3.3,3.0,0.3,10.0,3106401.86,1004534.655,8.787878787878789,10.0,10.1399,尾盘
000008.SZ,20260106,2.87,3.15,2.85,3.15,2.86,0.29,10.1399,2031309.15,625061.931,9.523809523809518,10.101,10.0,尾盘
000008.SZ,20260330,2.67,2.97,2.66,2.97,2.7,0.27,10.0,1343617.66,393365.44,10.43771043771044,,10.101,尾盘
000011.SZ,20250811,8.77,9.56,8.75,9.56,8.69,0.87,10.0115,247321.31,228825.389,8.47280334728034,10.0292,10.0418,尾盘
000011.SZ,20250812,9.6,10.52,9.59,10.52,9.56,0.96,10.0418,479395.18,478120.615,8.840304182509504,10.0498,10.0292,尾盘
000011.SZ,20251023,11.3,11.3,11.3,11.3,10.27,1.03,10.0292,98270.08,111045.19,0.0,,10.0498,早盘
000014.SZ,20250519,11.11,11.88,11.01,11.88,10.8,1.08,10.0,114651.44,132307.103,7.3232323232323315,10.0,9.9911,尾盘
000014.SZ,20250611,11.4,12.33,11.21,12.33,11.21,1.12,9.9911,259689.06,312876.857,9.083536090835356,10.0386,10.0,尾盘
000014.SZ,20250707,11.31,12.43,11.26,12.43,11.3,1.13,10.0,164477.51,199714.335,9.412711182622687,10.0179,10.0386,尾盘
000014.SZ,20250812,14.16,14.25,14.02,14.25,12.95,1.3,10.0386,221339.77,314932.849,1.6140350877193015,10.0261,10.0179,尾盘
000014.SZ,20250919,16.88,18.45,16.5,18.45,16.77,1.68,10.0179,250021.89,434069.012,10.569105691056906,10.0,10.0261,尾盘
000014.SZ,20250923,18.99,21.07,18.2,21.07,19.15,1.92,10.0261,314590.27,618769.098,13.621262458471763,9.9924,10.0,尾盘
000014.SZ,20251016,20.52,22.33,20.52,22.33,20.3,2.03,10.0,176224.04,380583.63,8.105687416032238,9.9923,9.9924,尾盘
000014.SZ,20260209,14.53,14.53,14.53,14.53,13.21,1.32,9.9924,52433.44,76185.788,0.0,,9.9923,早盘
000017.SZ,20250909,6.87,7.5,6.77,7.5,6.82,0.68,9.9707,543141.2,396099.167,9.73333333333334,9.9607,9.9424,尾盘
000017.SZ,20251119,6.98,7.63,6.9,7.63,6.94,0.69,9.9424,589174.75,439725.495,9.56749672346002,10.0119,9.9607,尾盘
000017.SZ,20251120,7.84,8.39,7.82,8.39,7.63,0.76,9.9607,510393.81,420901.996,6.793802145411207,10.0529,10.0119,尾盘
000017.SZ,20251121,9.23,9.23,9.23,9.23,8.39,0.84,10.0119,101547.72,93728.546,0.0,,10.0529,早盘
000019.SZ,20251023,7.06,7.63,6.99,7.63,6.94,0.69,9.9424,554691.42,416417.258,8.387942332896458,,9.9579,尾盘
000020.SZ,20250617,12.53,13.78,12.46,13.78,12.53,1.25,9.9761,92946.69,126290.28,9.579100145137872,10.0287,10.0145,尾盘
000020.SZ,20250618,13.9,15.16,13.41,15.16,13.78,1.38,10.0145,269836.81,390246.945,11.54353562005277,10.026,10.0287,尾盘
000020.SZ,20250925,13.96,15.36,13.7,15.36,13.96,1.4,10.0287,121185.63,182058.915,10.807291666666668,9.9808,10.026,尾盘
000020.SZ,20250926,16.9,16.9,16.9,16.9,15.36,1.54,10.026,162279.55,274252.44,0.0,10.0069,9.9808,早盘
000020.SZ,20251208,15.64,17.19,15.64,17.19,15.63,1.56,9.9808,122084.0,202655.374,9.01687027341478,9.9749,10.0069,尾盘
000020.SZ,20260316,14.49,15.94,14.35,15.94,14.49,1.45,10.0069,71827.54,113245.908,9.974905897114178,9.9829,9.9749,尾盘
000020.SZ,20260317,17.53,17.53,17.53,17.53,15.94,1.59,9.9749,74185.02,130046.34,0.0,10.0104,9.9829,早盘
000020.SZ,20260318,19.28,19.28,19.28,19.28,17.53,1.75,9.9829,28920.8,55759.302,0.0,9.9953,10.0104,早盘
000020.SZ,20260319,21.21,21.21,21.21,21.21,19.28,1.93,10.0104,32520.82,68976.659,0.0,,9.9953,早盘
000021.SZ,20250924,22.59,25.0,22.4,25.0,22.73,2.27,9.9868,1366874.25,3268717.165,10.400000000000006,10.0108,9.9842,尾盘
000021.SZ,20250930,26.75,27.87,26.73,27.87,25.34,2.53,9.9842,714828.7,1974743.38,4.090419806243275,10.017,10.0108,尾盘
000021.SZ,20251009,30.66,30.66,29.8,30.66,27.87,2.79,10.0108,1763509.41,5383958.804,2.8049575994781457,,10.017,尾盘
000025.SZ,20251023,18.5,19.12,18.18,19.12,17.38,1.74,10.0115,185421.84,350207.034,4.916317991631805,,10.0262,尾盘
