exchange,cal_date,is_open,pretrade_date
SSE,20260430,1,20260429
SSE,20260429,1,20260428
SSE,20260428,1,20260427
SSE,20260427,1,20260424
SSE,20260424,1,20260423
SSE,20260423,1,20260422
SSE,20260422,1,20260421
SSE,20260421,1,20260420
SSE,20260420,1,20260417
SSE,20260417,1,20260416
SSE,20260416,1,20260415
SSE,20260415,1,20260414
SSE,20260414,1,20260413
SSE,20260413,1,20260410
SSE,20260410,1,20260409
SSE,20260409,1,20260408
SSE,20260408,1,20260407
SSE,20260407,1,20260403
SSE,20260403,1,20260402
SSE,20260402,1,20260401
SSE,20260401,1,20260331
SSE,20260331,1,20260330
SSE,20260330,1,20260327
SSE,20260327,1,20260326
SSE,20260326,1,20260325
SSE,20260325,1,20260324
SSE,20260324,1,20260323
SSE,20260323,1,20260320
SSE,20260320,1,20260319
SSE,20260319,1,20260318
SSE,20260318,1,20260317
SSE,20260317,1,20260316
SSE,20260316,1,20260313
SSE,20260313,1,20260312
SSE,20260312,1,20260311
SSE,20260311,1,20260310
SSE,20260310,1,20260309
SSE,20260309,1,20260306
SSE,20260306,1,20260305
SSE,20260305,1,20260304
SSE,20260304,1,20260303
SSE,20260303,1,20260302
SSE,20260302,1,20260227
SSE,20260227,1,20260226
SSE,20260226,1,20260225
SSE,20260225,1,20260224
SSE,20260224,1,20260213
SSE,20260213,1,20260212
SSE,20260212,1,20260211
SSE,20260211,1,20260210
SSE,20260210,1,20260209
SSE,20260209,1,20260206
SSE,20260206,1,20260205
SSE,20260205,1,20260204
SSE,20260204,1,20260203
SSE,20260203,1,20260202
SSE,20260202,1,20260130
SSE,20260130,1,20260129
SSE,20260129,1,20260128
SSE,20260128,1,20260127
SSE,20260127,1,20260126
SSE,20260126,1,20260123
SSE,20260123,1,20260122
SSE,20260122,1,20260121
SSE,20260121,1,20260120
SSE,20260120,1,20260119
SSE,20260119,1,20260116
SSE,20260116,1,20260115
SSE,20260115,1,20260114
SSE,20260114,1,20260113
SSE,20260113,1,20260112
SSE,20260112,1,20260109
SSE,20260109,1,20260108
SSE,20260108,1,20260107
SSE,20260107,1,20260106
SSE,20260106,1,20260105
SSE,20260105,1,20251231
SSE,20251231,1,20251230
SSE,20251230,1,20251229
SSE,20251229,1,20251226
SSE,20251226,1,20251225
SSE,20251225,1,20251224
SSE,20251224,1,20251223
SSE,20251223,1,20251222
SSE,20251222,1,20251219
SSE,20251219,1,20251218
SSE,20251218,1,20251217
SSE,20251217,1,20251216
SSE,20251216,1,20251215
SSE,20251215,1,20251212
SSE,20251212,1,20251211
SSE,20251211,1,20251210
SSE,20251210,1,20251209
SSE,20251209,1,20251208
SSE,20251208,1,20251205
SSE,20251205,1,20251204
SSE,20251204,1,20251203
SSE,20251203,1,20251202
SSE,20251202,1,20251201
SSE,20251201,1,20251128
SSE,20251128,1,20251127
SSE,20251127,1,20251126
SSE,20251126,1,20251125
SSE,20251125,1,20251124
SSE,20251124,1,20251121
SSE,20251121,1,20251120
SSE,20251120,1,20251119
SSE,20251119,1,20251118
SSE,20251118,1,20251117
SSE,20251117,1,20251114
SSE,20251114,1,20251113
SSE,20251113,1,20251112
SSE,20251112,1,20251111
SSE,20251111,1,20251110
SSE,20251110,1,20251107
SSE,20251107,1,20251106
SSE,20251106,1,20251105
SSE,20251105,1,20251104
SSE,20251104,1,20251103
SSE,20251103,1,20251031
SSE,20251031,1,20251030
SSE,20251030,1,20251029
SSE,20251029,1,20251028
SSE,20251028,1,20251027
SSE,20251027,1,20251024
SSE,20251024,1,20251023
SSE,20251023,1,20251022
SSE,20251022,1,20251021
SSE,20251021,1,20251020
SSE,20251020,1,20251017
SSE,20251017,1,20251016
